"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]","detections"
2.0,16985.344414376512,33918.606382103244,168.37781125165253,1058.4432586125633,11.294767299250935,15.326262485784554,NaN,14.867434576731535,7.0
2.0,35005.75589546609,13550.817869345952,165.1744486045032,205.3622543924613,9.718349781938578,3.9548496069680388,NaN,23.390238925432023,2.0
3.0,10859.603501508682,13121.619127812133,157.4960176963096,101.58858076844781,12.278775183972344,2.103318198601874,407.6718212743317,27.717890956519323,1.0
3.0,19380.596149120738,7107.096821402445,115.57631340750453,66.4536956628588,10.583243912665955,1.8519647494416551,369.19862451423126,23.878328442039777,1.0
3.0,20842.258960915828,10820.758359758092,122.07267008463447,143.3385097198994,13.068230869307786,2.4155566013822036,471.01134985215873,16.873646761136694,1.0
3.0,21010.114478811505,1203.6807162297312,156.78468510098432,105.20160487566788,10.78968493926786,1.968189604802075,399.7019346825563,26.3673197121196,1.0
3.0,21895.044720558395,896.3343442366169,124.54502141538526,69.5258200001631,10.423566262152113,1.9151763054392843,384.0444489903088,25.615025417124958,1.0
3.0,27547.73400205429,3218.6032166820632,128.52963035819363,72.08170992577449,14.711623201338373,2.802936964282745,627.3864554837226,29.884550943501473,1.0
3.0,34841.38629759127,28374.576871979247,137.8426325698126,92.6375711815544,10.112651171264622,2.1837876921013155,465.4197495197212,25.10385424107824,1.0
3.0,36920.005186776994,26651.98598440033,165.88363530624173,133.81814368198698,9.891327661958242,2.1342996765921693,454.58446872953436,24.825567488472426,1.0
3.0,29952.48819024705,23262.689013872834,170.13990326767487,213.28216689966973,11.362771714278427,4.048348948899751,NaN,24.03843789080972,2.0
4.0,2646.6057307300243,8199.031749491021,247.4349638928527,189.84320630374575,7.327977960415541,2.2383211259883633,505.85281660047224,34.17303136044982,1.0
4.0,11349.045419530696,23873.605299047853,130.02511520217257,66.20187701464,11.641347292302777,2.2543597526775816,457.502914248141,29.468277556976286,1.0
4.0,16259.542095493245,21723.118278222697,169.01529087482038,223.75559639693927,13.350245332073804,2.489079174981087,367.8545009931835,19.078898278658382,1.0
4.0,2530.307520661344,20915.114947147176,140.31630976394152,1124.5084257868768,9.95332696188265,16.501213849155995,NaN,10.902412438151432,8.0
5.0,5353.628066797928,36708.18343067645,152.08719669633697,85.3726083076456,9.18214316034589,2.0309846266104006,421.5746418955471,29.39604642143999,1.0
5.0,10383.895429365848,3366.455600715169,140.4393422911928,106.5647239700672,11.331565637786047,2.746725336882348,653.9920069563699,25.375289842848066,1.0
5.0,12160.364055224973,520.8299195294936,159.7303932664351,193.8436588637958,9.753226384560106,1.8925499219233703,344.85799436295946,18.307481055910657,1.0
5.0,13738.54867030679,20807.253292816313,153.54683835589947,114.61375030173605,12.803123593694348,2.5723553812465694,513.4853767876473,26.550121615042624,1.0
5.0,21827.831587847533,898.1981359008969,128.28189738337767,68.17551857570044,9.875732018081806,1.9672669988818818,496.890001207489,27.118797930350755,1.0
5.0,27252.033068765646,16278.03223972079,131.55244706123182,73.17906123601473,11.424879249289104,1.9114658568441731,365.17294166630165,26.50927130288274,1.0
5.0,27511.211261752174,3273.7138289475347,167.39511534023293,79.56572121017545,14.181583026343732,2.132247946573454,366.7066421188892,35.84357372602035,1.0
5.0,35957.01823420866,9613.515322778638,128.72350541375067,60.67091138259016,10.618719943842395,2.467981473247679,545.5550605971206,32.05306676279876,1.0
5.0,2630.7989099834854,8205.69071986133,147.41576558724046,659.3028536333795,9.296795494113711,12.315286206867462,NaN,15.196279571132056,7.0
6.0,11154.377025231362,5147.040652444152,160.77790239788231,90.99823589499496,10.518337504409935,2.076420238918804,435.54468891107837,30.54731712044124,1.0
6.0,20947.886280097126,1246.0495850940338,160.39277723478443,90.56316468214074,9.87313413668496,1.9302227681245567,403.5813104962636,29.77989497795833,1.0
6.0,20933.09300420514,17660.103400050135,122.97004143547333,60.757171967103545,12.97804429076958,2.3127573273167625,502.0057665378823,29.294518065304118,1.0
6.0,29939.1172348966,23300.230979588385,136.36463328604077,151.9244079584273,11.92552919869733,4.791188892015363,NaN,24.422672259887698,2.0
6.0,37993.34309707742,25667.956628824413,164.88004405666135,231.5968991886566,9.074448537994233,4.199737698422389,NaN,21.967381451239476,2.0
7.0,2483.9562570401285,20901.941987919996,156.2103727559658,94.37753240627102,9.430980167619525,2.076574573010835,476.3149276096588,28.683080272015278,1.0
7.0,5772.640961188449,6003.510646193688,109.01038796520777,58.34865848009892,10.437312917205867,1.5947389662525007,278.58016062387196,23.397441769491753,1.0
7.0,7773.195339544491,16317.706230901884,154.08757355047737,105.54067467895244,10.181076743057707,1.9846501463181752,402.7894031814531,25.804016765306546,1.0
7.0,34799.06312807313,28458.674745845732,101.95418351378908,52.917478308956696,10.39143671503625,1.7641053916029632,331.5537004794959,23.474785036245045,1.0
7.0,37186.142984478094,20781.5290865225,127.77116988804434,72.55781379555415,9.90901729019321,2.1438650319269397,516.6201038391548,26.605137421530173,1.0
7.0,40480.34370536983,19634.32469941708,155.31886495869986,186.2910507872718,9.0223039094842,3.4324695517649833,NaN,21.55017142577224,2.0
8.0,9679.437087621747,5723.172133630146,177.15936153611977,100.6533821829541,9.434445975953953,1.8068405886358339,344.6931258365491,30.926669997133587,1.0
8.0,9674.69793459966,33884.47673654362,117.94376848499097,59.79537895937965,10.023407806680547,1.9980283368359573,432.4535762777792,26.703340415816243,1.0
8.0,17001.153659508323,33901.54111834769,152.1182058435,500.382177448063,11.214475132546584,10.916138413242457,NaN,18.626224635430397,5.0
8.0,29847.41272861734,23314.656139233193,189.95220848486653,343.24806699707995,11.31904565657617,4.3963338414649655,NaN,20.64281436439336,2.0
8.0,37212.97526948843,20748.82346392336,147.9085809166127,356.9032495950561,9.732457835698705,6.380704877915729,NaN,16.69579790282054,3.0
8.0,40296.49234678259,26973.503101901355,122.51678741539916,241.4280171870003,9.560405173144773,3.962166228032988,NaN,13.88376531629775,2.0
9.0,5776.625139484488,5890.856287916013,211.8790195318817,151.81692814076956,8.193488592655415,2.23852106953949,589.8585219818414,32.18107536004781,1.0
9.0,9453.750364552916,5548.006714434852,219.04581061101155,143.4725594494406,9.326278925587248,1.7109901145365112,285.1347569950487,31.704269406672502,1.0
9.0,28512.47619829714,17225.194487301444,153.041801621188,76.59725266135104,11.290053058644238,2.1486493410050023,414.18058131437397,32.606634546357064,1.0
9.0,11348.737597395966,23848.58281068598,146.64349111631682,279.0087508569475,11.18566601464858,5.7150818084011,NaN,18.769093220423212,3.0
9.0,21001.826760463595,1210.5773374854732,146.83702953328594,693.0215763726269,10.978125666817732,12.850259082123623,NaN,14.907035705164079,6.0
10.0,9519.160373258774,5578.547040018167,132.16127597432254,77.12788873950329,9.831231427384298,1.7284745170886633,352.7334630129121,25.119919756211797,1.0
10.0,20993.022082303196,17620.237719323326,122.70061548233068,80.64821103371122,12.02709647506411,1.753119643267975,296.67800244556935,22.47144560314163,1.0
10.0,26840.516295982412,2937.115989588585,87.61619677694652,51.08761806256492,12.434706962406175,2.708559540158269,638.293522006624,22.470167840837938,1.0
10.0,27554.622630925023,3377.259796419339,316.0961070070909,307.3441993399501,10.625406947770271,2.381272226182063,456.85237962050536,35.29160726013619,1.0
10.0,39388.895709792625,3877.3499427683014,154.65387325718498,94.66905458099852,9.398193826301627,2.0715250370655705,399.84914238461283,28.226551980226965,1.0
10.0,5304.390052254361,36736.106543787,122.74812675976773,494.08476593808854,8.933244096881802,13.798221040119202,NaN,15.463791982002595,7.0
10.0,6913.425232199232,1997.9735884688785,135.39129041197947,364.46190868227825,9.443177308569298,10.050895197541301,NaN,18.90305671360826,5.0
10.0,7764.475802549705,16319.03850837637,139.82997379451103,350.3006693553758,10.418462546837262,7.650517958936447,NaN,17.226198003257654,4.0
10.0,10385.041786207477,3317.120731162977,173.72400126470038,1504.0960608214905,10.710447940281494,21.208534167871527,NaN,14.810119132133012,9.0
10.0,10884.383145426433,13169.789408102115,159.17824629245007,193.21878555440446,11.15690653836256,4.212464514876318,NaN,23.93507409479488,2.0
11.0,10337.144336966458,3248.286362241095,215.63125195131548,200.04846787742358,9.794456748050097,3.0669778264579493,729.1439148445232,31.21540392555349,1.0
11.0,29931.501077191264,23266.6808343539,156.37352395619882,125.55981885754521,11.265516953981008,2.0004341310563443,340.58788000301763,23.56891466961967,1.0
11.0,37219.57988526218,20723.492223456917,151.58734466043413,168.73324762346667,10.298474829462279,2.4455773800317746,599.015663964605,19.847090481506275,1.0
11.0,37447.32364395277,22493.148207747177,122.22993664660272,127.27763375132587,10.495641135459461,1.6711605327707877,288.0221914658978,17.008950854131385,1.0
11.0,20933.24591697473,17625.27118224298,143.91643056180456,923.141834626932,13.134544182018796,15.34958628528013,NaN,12.79150137269422,7.0
