0	197.6485	
1	199.2147	
2	196.3638	
3	193.3745	
4	192.3374	
5	190.8110	
6	186.6921	
7	184.1603	
8	184.4633	
9	184.6393	
10	182.5071	
11	179.2170	
12	176.0792	
13	173.0052	
14	172.3179	
15	170.9534	
16	167.8155	
17	165.8496	
18	165.9716	
19	165.3336	
20	164.0363	
21	163.0725	
22	163.3339	
23	163.9776	
24	163.3546	
25	163.9887	
26	163.6635	
27	162.2447	
28	163.5722	
29	166.7508	
30	164.9910	
31	162.8407	
32	166.7410	
33	169.9610	
34	172.0052	
35	172.8376	
36	171.0674	
37	170.3814	
38	170.6527	
39	170.6527	
40	170.0677	
41	168.8642	
42	168.7121	
43	158.6346	
44	158.2117	
45	161.1519	
46	162.8946	
47	169.0417	
48	173.4347	
49	173.3402	
50	172.4791	
51	173.6548	
52	171.8450	
53	170.0000	
54	170.0000	
55	170.0000	
56	171.5628	
57	171.4740	
58	168.8838	
59	166.4729	
60	165.7039	
61	164.5075	
62	161.9320	
63	158.9668	
64	154.8864	
65	152.3218	
66	150.7812	
67	149.9486	
68	149.2182	
69	147.4518	
70	146.1276	
71	144.5890	
72	142.6046	
73	141.2329	
74	140.1811	
75	139.7395	
76	138.6027	
77	137.1803	
78	136.1448	
79	136.1279	
80	134.3213	
81	133.4570	
82	135.3550	
83	136.5992	
84	137.8803	
85	139.2493	
86	140.3013	
87	141.9336	
88	143.9860	
89	146.6190	
90	148.3723	
91	149.8837	
92	151.9013	
93	154.5353	
94	156.9372	
95	158.9377	
96	161.5376	
97	163.9387	
98	164.9479	
99	166.7309	
100	169.4711	
101	172.2113	
102	172.4167	
103	171.8264	
104	171.8264	
105	171.8264	
106	171.9309	
107	172.0000	
108	172.0000	
109	172.4980	
110	173.9275	
111	175.3083	
112	176.3430	
113	178.3934	
114	179.4266	
115	178.2888	
116	176.6194	
117	175.9475	
118	175.9657	
119	176.6578	
120	177.7449	
121	177.5153	
122	177.0868	
123	177.0868	
124	177.0868	
125	177.5355	
126	177.7737	
127	178.7959	
128	180.0339	
129	177.6172	
130	175.8264	
131	175.8264	
132	174.6093	
133	173.1118	
134	174.3741	
135	175.5849	
136	174.4865	
137	175.5161	
138	177.2628	
139	175.8747	
140	177.5805	
141	178.6753	
142	177.2086	
143	176.8313	
144	177.9577	
145	179.2840	
146	179.2337	
147	177.1292	
148	177.7847	
149	178.4067	
150	178.0336	
151	179.1203	
152	180.8938	
153	182.7937	
154	184.7409	
155	184.9713	
156	184.1448	
157	185.0562	
158	184.5960	
159	182.5955	
160	181.2641	
161	180.9132	
162	180.9132	
163	181.4761	
164	181.8264	
165	181.8264	
166	181.8264	
167	181.8264	
168	181.8264	
169	181.8264	
170	181.8264	
171	181.0467	
172	182.4222	
173	182.9469	
174	180.7080	
175	179.7273	
176	178.6406	
177	176.1607	
178	174.9791	
179	174.8054	
180	174.9012	
181	175.6211	
182	176.0000	
183	174.6489	
184	173.0425	
185	173.2420	
186	172.5161	
187	169.9045	
188	168.0626	
189	169.4139	
190	170.5332	
191	171.7590	
192	172.3707	
193	169.8089	
194	166.5406	
195	166.6199	
196	169.0717	
197	170.7570	
198	173.4968	
199	176.2189	
200	178.3062	
201	180.3392	
202	179.7795	
