Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc
Alexa405/Alexa647	7375.2	8141.2	7347.7	8142.7	1132.14221	7801.97607	335.12888	0.10846	0.70574	281.07007	7368.24805	7685	1	-1	1	162	216.327	1682.62877	5.87403	7375.2	8141.2	7347.7	8142.7
Alexa405/Alexa647	6055.9	9194.3	6040.7	9189.1	1706.41943	15301.07227	382.27692	0.50363	1.88841	355.54776	15045.82813	1814	1	-1	1	-252	-235.244	3299.93635	4.57522	6055.9	9194.3	6040.7	9189.1
Alexa405/Alexa647	6662.1	9517.8	6653.0	9513.9	1002.88019	7848.38379	357.12943	0.68233	0.73724	334.73108	8125.41162	1193	1	-1	1	185	197.497	1692.63739	6.72421	6662.1	9517.8	6653.0	9513.9
Alexa405/Alexa647	7718.2	5886.7	7696.1	5884.3	2479.53271	50827.84375	410.69482	1.26953	1.47048	315.75983	48912.81250	2837	2	-1	1	-228	-203.353	10961.88858	2.45303	7718.2	5886.7	7696.1	5884.3
Alexa405/Alexa647	7919.1	8502.6	7891.7	8504.1	1512.13306	11996.75488	359.58115	0.44612	0.68763	323.96426	11528.25098	9444	1	-1	1	219	271.887	2587.30414	4.90008	7919.1	8502.6	7891.7	8504.1
Alexa405/Alexa647	7916.8	8503.1	7889.3	8504.6	1185.33948	19721.92188	380.20834	0.99989	0.70717	293.34406	19292.91797	9439	2	-1	1	255	307.887	4253.36773	4.23728	7916.8	8503.1	7889.3	8504.6
Alexa405/Alexa647	7922.0	8479.9	7894.6	8481.4	1219.36572	11344.87207	389.39722	1.16981	0.70913	296.77148	10975.99707	9429	1	-1	1	275	327.887	2446.71452	5.60612	7922.0	8479.9	7894.6	8481.4
Alexa405/Alexa647	7922.2	8487.7	7894.7	8489.2	1226.07666	23445.97266	376.37137	0.78723	0.68839	305.22665	23366.13477	9431	2	-1	1	255	307.887	5056.52258	3.70905	7922.2	8487.7	7894.7	8489.2
Alexa405/Alexa647	7943.2	8493.0	7915.8	8494.5	1819.68457	14801.08203	364.08997	0.30202	0.65475	347.98016	14557.69434	9436	1	-1	1	244	296.887	3192.10496	4.35676	7943.2	8493.0	7915.8	8494.5
Alexa405/Alexa647	8139.3	10886.5	8139.3	10886.5	1062.94507	10007.47266	391.71198	0.56127	0.63516	643.02594	9702.09277	169	1	-1	1	306	306	2158.28161	7.85576	8139.3	10886.5	8139.3	10886.5
Alexa405/Alexa647	8132.6	10899.2	8129.5	10897.9	1035.94287	11123.46289	418.32336	0.53306	0.60391	411.77167	10500.99219	736	1	-1	1	362	373.011	2398.96387	6.93418	8132.6	10899.2	8129.5	10897.9
Alexa405/Alexa647	8088.3	10947.4	8088.3	10947.4	1254.33191	14863.88574	439.46063	1.30845	0.66048	540.91833	13731.85742	307	1	-1	1	381	383.019	3205.64965	6.45548	8088.3	10947.4	8088.3	10947.4
Alexa405/Alexa647	8142.0	10902.2	8117.3	10901.7	1263.37854	14177.37793	427.65274	1.11588	0.65209	377.21365	13340.52246	3165	1	-1	1	364	390.493	3057.59257	5.78679	8142.0	10902.2	8117.3	10901.7
Alexa405/Alexa647	8126.8	10909.8	8126.8	10909.8	1711.66626	43902.04297	439.91788	0.92404	0.62321	567.90649	42571.90625	229	2	-1	1	392	392.361	9468.22190	3.40683	8126.8	10909.8	8126.8	10909.8
Alexa405/Alexa647	8136.4	10922.0	8112.1	10921.2	1070.47473	13210.74023	448.47211	1.24382	0.64678	351.41345	12362.52930	3108	1	-1	1	399	425.172	2849.12071	6.44522	8136.4	10922.0	8112.1	10921.2
Alexa405/Alexa647	8170.3	10907.2	8155.1	10902.1	1049.26538	25655.18164	436.41589	0.58057	0.59439	373.80255	24977.37891	1822	2	-1	1	394	410.831	5532.97606	4.54955	8170.3	10907.2	8155.1	10902.1
Alexa405/Alexa647	8182.9	10908.3	8155.5	10909.8	1125.40918	10283.43555	385.89926	0.47091	0.63357	401.76456	9863.24121	3525	1	-1	1	296	324.491	2217.79769	6.45666	8182.9	10908.3	8155.5	10909.8
Alexa405/Alexa647	8170.6	10903.9	8165.3	10901.6	1057.12000	11016.07031	412.10822	0.17995	0.54456	422.00400	10503.85938	910	1	-1	1	370	381.577	2375.80284	6.87522	8170.6	10903.9	8165.3	10901.6
Alexa405/Alexa647	8179.9	10927.9	8164.8	10922.8	1251.91479	14172.59570	429.53381	0.05540	0.55326	370.29303	14039.81348	1814	1	-1	1	395	411.756	3056.56120	5.79819	8179.9	10927.9	8164.8	10922.8
Alexa405/Alexa647	8160.0	10921.5	8132.5	10923.0	1387.29492	14308.66309	409.99182	0.37980	0.59673	378.46838	13823.60645	3519	1	-1	1	351	379.458	3085.90644	5.39908	8160.0	10921.5	8132.5	10923.0
Alexa405/Alexa647	8127.2	10941.0	8099.8	10942.5	1325.58191	15642.75879	438.54428	0.86505	0.61876	343.24368	14583.47168	5295	1	-1	1	391	433.948	3373.62686	5.44300	8127.2	10941.0	8099.8	10942.5
