Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc
Alexa405/Alexa647	21507.5	3458.7	21500.6	3459.4	1270.60193	60625.72656	341.37500	0.14309	1.15167	369.05188	57161.51172	6636	5	-1	1	-48	-21.8079	13074.96857	2.08056	21507.5	3458.7	21500.6	3459.4
Alexa405/Alexa647	21530.0	3460.1	21529.8	3460.1	2275.32764	58066.80859	341.90930	0.34715	1.04589	533.14978	54908.02344	527	4	-1	1	-12	-6.10914	12523.09441	2.22712	21530.0	3460.1	21529.8	3460.1
Alexa405/Alexa647	21534.9	3465.2	21531.5	3465.5	3703.53784	105704.68750	368.18140	1.17175	1.09999	678.37805	97458.18750	984	4	-1	1	-56	-41.7887	22797.01284	1.68765	21534.9	3465.2	21531.5	3465.5
Alexa405/Alexa647	21554.5	3462.3	21547.6	3463.0	2852.80078	199646.07813	346.12170	0.28735	1.16259	431.67010	188906.48438	1981	10	-1	1	-56	-34.1018	43057.07073	1.08940	21554.5	3462.3	21547.6	3463.0
Alexa405/Alexa647	21563.6	3467.0	21560.0	3467.3	2057.65796	360599.06250	370.77118	1.43338	1.01773	642.83282	335621.65625	1029	12	-1	1	-21	-6.37295	77769.31801	0.88764	21563.6	3467.0	21560.0	3467.3
Alexa405/Alexa647	14307.7	4112.5	14300.8	4113.2	1466.10620	14456.92188	400.88080	0.33731	1.70513	336.00870	14081.69531	2582	1	-1	1	-256	-233.019	3117.88097	5.03662	14307.7	4112.5	14300.8	4113.2
Alexa405/Alexa647	14302.2	4125.4	14295.3	4126.1	1513.73901	28137.55078	404.13266	1.28250	1.42315	340.74854	26950.60352	2584	2	-1	1	-206	-183.015	6068.34116	3.68837	14302.2	4125.4	14295.3	4126.1
Alexa405/Alexa647	14309.2	4106.3	14302.3	4107.0	1596.67065	14206.08008	380.79346	0.00806	1.68625	360.83807	13878.66699	2577	1	-1	1	-220	-197.028	3063.78267	4.81771	14309.2	4106.3	14302.3	4107.0
Alexa405/Alexa647	14309.4	4120.9	14302.4	4121.6	1722.90918	28248.21094	382.39777	0.14100	1.64514	359.59354	27696.45313	2587	2	-1	1	-216	-193.01	6092.20691	3.43899	14309.4	4120.9	14302.4	4121.6
Alexa405/Alexa647	14302.1	4128.3	14295.2	4128.9	1471.15784	13982.63184	393.57263	0.19430	1.84592	320.88553	13320.00684	2575	1	-1	1	-265	-242.031	3015.59226	4.97376	14302.1	4128.3	14295.2	4128.9
Alexa405/Alexa647	14300.9	4137.3	14294.0	4137.9	1189.19067	11600.57227	398.72549	0.17594	1.74685	337.96515	11084.21973	2579	1	-1	1	-259	-236.024	2501.86062	5.89704	14300.9	4137.3	14294.0	4137.9
Alexa405/Alexa647	18784.4	4396.0	18777.5	4396.7	1348.45239	11587.66699	374.23141	1.38703	0.78443	366.31534	11359.96387	2288	1	-1	1	196	218.451	2499.07738	5.48339	18784.4	4396.0	18777.5	4396.7
Alexa405/Alexa647	21491.7	3492.7	21491.7	3492.7	2562.28369	46181.05859	363.96503	1.04481	1.09260	981.96167	43013.87500	143	3	-1	1	-48	-48	9959.73036	3.22905	21491.7	3492.7	21491.7	3492.7
Alexa405/Alexa647	16560.8	4423.1	16553.9	4423.8	1190.41821	9637.56445	363.24020	0.97273	0.76119	362.31693	9364.90723	2854	1	-1	1	183	206.714	2078.50461	6.01598	16560.8	4423.1	16553.9	4423.8
