0	225.5556
1	229.1484
2	229.4471
3	228.0415
4	224.6341
5	226.6021
6	229.9736
7	230.0539
8	227.7915
9	223.6940
10	221.2555
11	223.2808
12	225.1985
13	225.3560
14	225.0401
15	225.9588
16	227.1604
17	226.6667
18	226.4615
19	226.1524
20	226.8028
21	226.3185
22	224.1823
23	224.7509
24	225.1854
25	225.4538
26	225.3251
27	225.4085
28	224.7838
29	224.4879
30	224.7303
31	224.2096
32	223.0441
33	223.1555
34	223.1776
35	222.9767
36	222.6877
37	221.9674
38	220.9292
39	219.7986
40	219.4278
41	220.8512
42	220.4622
43	219.7419
44	220.7487
45	222.2950
46	222.4331
47	221.8565
48	222.2065
49	222.3333
50	222.9108
51	223.3766
52	221.9800
53	221.0082
54	220.8073
55	219.8031
56	220.6931
57	221.9621
58	221.2289
59	219.3526
60	218.4427
61	219.5662
62	219.9588
63	219.8798
64	220.1025
65	219.1932
66	218.4651
67	219.1557
68	219.1770
69	218.0579
70	217.5256
71	218.0583
72	217.7350
73	215.9541
74	215.6696
75	215.9840
76	215.1011
77	215.8773
78	215.8443
79	213.7512
80	212.1111
81	212.8811
82	212.6727
83	212.3875
84	214.2801
85	212.9295
86	209.8833
87	208.9953
88	206.9135
89	204.4841
90	206.0007
91	206.5662
92	204.1921
93	205.0632
94	206.4930
95	204.0672
96	200.5418
97	200.9787
98	200.1459
99	195.8763
100	193.1118
101	191.4418
102	189.8911
103	183.9528
104	179.2641
105	177.1204
106	174.3546
107	172.1076
108	168.1335
109	165.0432
110	157.5640
111	152.8632
112	154.1743
113	150.1335
114	134.7148
115	122.2548
116	114.2546
117	106.4098
118	91.5309
119	77.9567
120	71.8660
121	61.6660
122	53.8720
123	45.6094
124	33.8436
125	24.4021
126	20.7862
127	19.2515
128	18.3333
129	18.3333
130	18.4651
131	18.4234
132	19.2617
133	23.3486
134	28.8709
135	39.9080
136	49.6753
137	58.0204
138	70.4360
139	76.4751
140	78.1395
141	81.8006
142	82.7332
143	82.2910
144	84.8853
145	87.8283
146	85.1264
147	84.2535
148	83.8822
149	81.1898
150	76.9066
151	75.8869
152	76.8993
153	81.1965
154	83.3021
155	78.6518
156	80.4092
157	82.2748
158	88.4870
159	90.7709
160	83.9468
161	80.4484
162	80.8441
163	78.4032
164	75.2382
165	84.0526
166	96.3852
167	99.5185
