Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc
Alexa405/Alexa647	6817.8	5806.6	6817.8	5806.6	1535.02917	141857.60938	356.79413	0.32844	1.30492	308.86206	136332.00000	6554	13	-1	1	-108	-108	30594.00504	1.42434	6817.8	5806.6	6817.8	5806.6
Alexa405/Alexa647	11204.7	3759.7	11204.7	3759.7	1242.35510	10962.97266	379.22882	0.29164	0.56345	399.19553	10658.15625	1312	1	-1	1	308	308	2364.35142	5.96893	11204.7	3759.7	11204.7	3759.7
Alexa405/Alexa647	11201.9	3765.7	11201.9	3765.7	1216.45215	8483.35254	337.12912	0.34303	0.64873	388.96072	8297.37500	1395	1	-1	1	195	195	1829.57919	6.04432	11201.9	3765.7	11201.9	3765.7
Alexa405/Alexa647	11191.3	3767.8	11191.3	3767.8	1360.98242	34706.81250	368.04587	0.55381	0.67799	393.04272	33829.51563	1314	3	-1	1	242	242	7485.11413	3.14845	11191.3	3767.8	11191.3	3767.8
Alexa405/Alexa647	11207.4	3789.5	11207.4	3789.5	1077.63623	77369.67969	408.52029	0.50472	0.61013	394.63571	73785.50000	1050	6	-1	1	344	344	16686.08671	2.39971	11207.4	3789.5	11207.4	3789.5
Alexa405/Alexa647	11214.8	3786.4	11214.8	3786.4	1313.88843	24922.11914	404.28384	0.75512	0.63982	411.78787	23903.84766	939	2	-1	1	328	328	5374.87867	4.25019	11214.8	3786.4	11214.8	3786.4
Alexa405/Alexa647	11225.5	3792.1	11225.5	3792.1	1102.29333	12912.05664	436.92725	1.27962	0.65987	393.80386	12161.86426	1040	1	-1	1	378	378	2784.70452	6.50882	11225.5	3792.1	11225.5	3792.1
Alexa405/Alexa647	11248.9	3772.6	11248.9	3772.6	1388.55164	14150.75586	407.53870	0.09395	0.55539	398.82440	13354.14551	933	1	-1	1	359	359	3051.85106	5.46950	11248.9	3772.6	11248.9	3772.6
Alexa405/Alexa647	11644.0	3865.8	11644.0	3865.8	1133.08923	8752.79004	354.81439	0.57140	0.72809	480.87772	9039.28027	864	1	-1	1	186	186	1887.68797	6.78748	11644.0	3865.8	11644.0	3865.8
Alexa405/Alexa647	11616.4	3875.1	11616.4	3875.1	1020.06537	9918.69727	398.08276	0.16077	0.58710	432.40637	9677.77734	866	1	-1	1	333	333	2139.13568	7.13301	11616.4	3875.1	11616.4	3875.1
Alexa405/Alexa647	1825.7	5839.3	1825.7	5839.3	1201.83057	86497.09375	406.75870	0.22612	1.77496	491.26288	85994.78906	120	7	-1	1	-276	-276	18654.56872	2.43038	1825.7	5839.3	1825.7	5839.3
Alexa405/Alexa647	1823.8	5875.6	1823.8	5875.6	1091.87634	10648.15137	398.66714	0.50357	1.63584	479.59732	10248.09375	140	1	-1	1	-240	-240	2296.45486	6.97073	1823.8	5875.6	1823.8	5875.6
Alexa405/Alexa647	1826.0	5876.4	1826.0	5876.4	1343.12231	36467.19922	397.10013	0.60350	1.59210	483.02209	36013.67969	132	3	-1	1	-230	-230	7864.77145	3.60311	1826.0	5876.4	1826.0	5876.4
Alexa405/Alexa647	3086.9	6254.2	3086.9	6254.2	1396.16479	26319.53125	337.16281	0.03321	0.70865	559.81879	25914.86328	59	3	-1	1	164	164	5676.25435	3.77953	3086.9	6254.2	3086.9	6254.2
Alexa405/Alexa647	3141.1	6243.1	3141.1	6243.1	1012.34338	8397.95215	367.69086	1.02087	0.74885	577.86200	8542.83008	6	1	-1	1	203	203	1811.16115	7.89894	3141.1	6243.1	3141.1	6243.1
Alexa405/Alexa647	2813.3	6592.9	2813.3	6592.9	1234.51233	19075.21875	341.62265	0.26863	1.35979	511.38214	18930.31641	85	2	-1	1	-103	-103	4113.89520	4.29987	2813.3	6592.9	2813.3	6592.9
Alexa405/Alexa647	11523.3	6622.4	11523.3	6622.4	1108.26245	91291.78906	369.14865	0.61339	0.68313	438.38071	89403.06250	923	6	-1	1	242	242	19688.62627	1.87187	11523.3	6622.4	11523.3	6622.4
Alexa405/Alexa647	1793.0	8925.4	1793.0	8925.4	1483.99341	66757.35938	434.27737	0.47693	1.80965	298.37280	64665.54297	9234	4	-1	1	-328	-328	14397.35942	2.47580	1793.0	8925.4	1793.0	8925.4
Alexa405/Alexa647	1791.7	8928.5	1791.7	8928.5	1282.58057	37047.98047	448.88586	0.49536	1.84248	292.90442	35539.60156	9244	2	-1	1	-358	-358	7990.02680	3.39050	1791.7	8928.5	1791.7	8928.5
Alexa405/Alexa647	1780.1	8950.6	1780.1	8950.6	1165.95825	30046.73242	427.13846	0.30667	1.83701	289.56494	28988.25781	9256	2	-1	1	-319	-319	6480.08864	3.66540	1780.1	8950.6	1780.1	8950.6
Alexa405/Alexa647	1784.8	8948.8	1784.8	8948.8	1572.18604	40011.84375	460.76602	0.86374	1.76698	282.09705	38525.26563	9223	2	-1	1	-370	-370	8629.23431	3.30324	1784.8	8948.8	1784.8	8948.8
Alexa405/Alexa647	1785.4	8933.0	1785.4	8933.0	1467.97046	33606.01953	448.19058	1.05104	1.69064	281.70380	32260.36523	9230	2	-1	1	-338	-338	7247.70941	3.59762	1785.4	8933.0	1785.4	8933.0
Alexa405/Alexa647	2554.7	11073.6	2554.7	11073.6	1091.72498	30044.82031	334.80399	0.45635	1.34397	294.41016	28658.53125	6303	4	-1	1	-92	-92	6479.67626	3.05151	2554.7	11073.6	2554.7	11073.6
Alexa405/Alexa647	2988.3	10569.9	2988.3	10569.9	1355.55310	12509.56250	387.81345	0.10502	1.77597	314.56342	12145.28125	3133	1	-1	1	-245	-245	2697.89982	5.25803	2988.3	10569.9	2988.3	10569.9
Alexa405/Alexa647	3512.9	10538.1	3512.9	10538.1	1565.05103	42276.58594	334.91272	0.14149	1.00630	329.72644	40475.67969	8669	2	-1	1	7	7	9117.66446	2.15139	3512.9	10538.1	3512.9	10538.1
Alexa405/Alexa647	8078.6	9039.9	8078.6	9039.9	1412.57654	84840.06250	347.91251	0.72641	0.89621	353.92834	80031.33594	7364	8	-1	1	57	57	18297.20176	1.84609	8078.6	9039.9	8078.6	9039.9
Alexa405/Alexa647	4340.9	9155.5	4340.9	9155.5	1162.91589	8765.25293	350.48395	0.35566	0.70963	318.83286	8648.84961	5043	1	-1	1	188	188	1890.37580	5.93012	4340.9	9155.5	4340.9	9155.5
Alexa405/Alexa647	8080.8	9043.6	8080.8	9043.6	1206.97131	80959.57031	350.58438	0.80121	0.84137	363.97763	77737.42969	7374	7	-1	1	96	96	17460.30765	1.88429	8080.8	9043.6	8080.8	9043.6
Alexa405/Alexa647	13240.2	9086.8	13240.2	9086.8	1306.14526	10578.10352	363.30237	0.98606	0.76349	387.67404	10407.40820	7712	1	-1	1	182	182	2281.34785	5.70514	13240.2	9086.8	13240.2	9086.8
Alexa405/Alexa647	13242.8	9110.4	13242.8	9110.4	3121.43286	62124.08984	374.34494	1.05211	0.73002	410.96420	60629.75781	5615	3	-1	1	231	231	13398.11608	2.13460	13242.8	9110.4	13242.8	9110.4
Alexa405/Alexa647	13216.9	9143.8	13216.9	9143.8	1165.12769	34195.57813	364.15848	0.60714	0.69657	427.07605	34000.67578	4159	2	-1	1	224	224	7374.85775	2.90424	13216.9	9143.8	13216.9	9143.8
Alexa405/Alexa647	13226.6	9148.7	13226.6	9148.7	3341.81616	30057.88477	382.86703	1.34892	0.74800	436.21173	29322.58984	3438	1	-1	1	243	243	6482.49383	2.98833	13226.6	9148.7	13226.6	9148.7
Alexa405/Alexa647	13253.0	9095.5	13253.0	9095.5	2960.33130	200197.96875	375.31662	0.90139	0.70607	415.60379	195506.79688	7215	9	-1	1	245	245	43176.09533	1.17949	13253.0	9095.5	13253.0	9095.5
Alexa405/Alexa647	13281.8	9098.5	13281.8	9098.5	1708.39001	12834.17188	349.90524	0.79826	0.86918	384.52322	11999.91895	8471	1	-1	1	75	75	2767.90735	4.66606	13281.8	9098.5	13281.8	9098.5
Alexa405/Alexa647	13261.0	9102.1	13261.0	9102.1	2512.42090	105511.15625	341.70642	0.45769	0.82866	422.01202	100035.48438	8486	5	-1	1	97	97	22755.27453	1.45286	13261.0	9102.1	13261.0	9102.1
Alexa405/Alexa647	13270.2	9105.8	13270.2	9105.8	2467.63062	130906.78125	353.20255	0.73039	0.77400	419.08603	125460.22656	7516	6	-1	1	151	151	28232.27279	1.35245	13270.2	9105.8	13270.2	9105.8
