x [nm],y [nm],BG,I,Frame,Length,z [nm],Photons,Lateral Localization Accuracy [nm]
16415.9,2970.5,405.3866,18958.60352,6416,1,-250.626,4238.26008,4.7754
16418.4,2966.8,420.69998,75420,5147,4,-283.664,16739.37331,2.4948
16110.3,3415.8,370.53546,7900.61377,8889,1,168.468,1780.56887,5.49482
16136.8,3416.2,382.86911,15786.27246,9311,1,148.943,3537.99649,3.48124
16626.9,2958.8,402.53384,9302.31543,9121,1,348.415,2013.79883,5.79085
18366.5,2060.2,1020.87238,73937.39844,152,3,257,16338.99258,2.34098
18398.3,2065.9,823.31195,9426.08203,528,1,225.643,2061.68575,7.24025
18052.5,2835.8,496.22043,48800.85547,2063,3,-86.0421,10475.23347,2.66672
20379.2,2863.8,518.14209,37240.89453,4159,2,13.6839,8634.16011,2.58218
23076.3,1722.4,443.82233,9715.21875,8613,1,466.635,2128.77145,6.79444
23080.4,1725.3,465.69098,8930.81641,8615,1,427.72,1913.34497,6.77969
20482.2,3330.1,1078.70703,54981.50781,446,2,-211.503,12419.59194,2.95372
20483.1,3345.8,1099.49695,131368.4375,449,4,-234.461,29737.74976,1.83738
21456.8,3311.6,472.14215,39617.20703,5289,2,-271.609,8822.08188,3.41754
21460.7,3330.5,720.4115,148576.4063,2171,5,-315.889,33008.80485,1.85301
21472.7,3351.9,752.56281,15722.67285,2781,1,-290.751,3405.97544,6.99013
20971.9,3382.9,487.87659,7232.08496,7484,1,147.599,1679.06932,7.11141
23089.3,1711.5,417.51471,17682.97266,6519,2,405.714,3966.61486,5.01642
23089.9,1688.4,454.54257,45118.71484,7931,3,535.385,10425.75474,3.24358
23116.3,1710,432.29984,26212.51758,8158,3,397.846,5805.51554,3.80444
17166.7,3519,447.13208,6000.69775,7151,1,165.211,1364.85272,6.50438
17258.5,3547.2,566.16821,37399.10156,3263,2,320.764,7978.19123,3.17637
18120.2,3595.8,416.90704,38828.42188,7727,2,298.375,8715.2568,2.44382
18135,3590.9,447.55695,21517.07617,8591,1,205.691,4860.24161,3.11481
18128,3599.2,445.22552,45946.48828,8173,2,268.141,10274.66231,2.23484
18136.3,3584.6,494.26889,120589.6719,8444,6,236.389,27293.84502,1.37538
18163.9,3590.1,437.40039,13018.99023,8843,1,266.496,2969.22701,4.57575
8876.1,3601.8,295.99619,11963.13281,7960,1,499.955,2753.52316,5.63274
18050.3,3609.5,403.20679,17980.76172,7701,1,-10.1356,3991.02356,4.11089
18102.6,3604.2,501.54413,46755.94531,5437,2,142.574,9876.82072,2.2726
18109.1,3609.6,425.27209,81050.10938,7073,4,296.682,17867.37069,1.80367
8718,3618.9,356.53726,11171.19629,4716,1,407.065,2494.52899,6.38981
8682.5,3627.9,325.35974,108455.4609,5615,9,415.676,24237.70547,1.8418
8662.4,3631.9,332.08972,20449.71875,6751,2,434.239,4591.69112,4.28998
8690.7,3628.9,332.73703,111890.8438,5284,9,422.283,25074.64001,1.88512
8688.8,3630.1,323.31683,38962.80859,5611,3,444.583,8767.60322,3.14981
8694.2,3630.1,326.95157,59693.47266,5596,5,413.233,13457.98642,2.4325
8724.4,3623,354.32135,11030.53906,4719,1,446.129,2454.58932,6.72995
8727.6,3623.4,354.21503,23670.97266,4017,2,446.647,5338.61165,4.47798
8678.8,3632.9,327.23758,20180.36914,5605,2,402.443,4491.38532,4.44859
8756.3,3617.8,321.17514,34423.73828,5068,3,448.637,7832.4829,3.63438
8766.9,3623.6,314.33731,143697.4375,8525,11,527.862,32523.53725,1.71606
8754.1,3628.5,326.48605,24729.85547,6553,2,481.817,5442.89591,4.13426
8782.5,3625.7,328.99753,26330.63086,7262,2,521.236,5911.60854,4.15155
8798.7,3629.9,315.76736,73473.625,7294,6,494.865,16455.5926,2.4334
8802,3623.3,342.35284,24273.30078,7259,2,493.177,5475.83062,4.19647
8807,3618,337.81989,11481.30371,7257,1,478.138,2662.45271,5.95046
8829.7,3619.9,353.21393,10068.5127,2928,1,319.101,2257.19462,6.10056
8833,3619.2,401.32843,184047.8438,1758,13,390.746,41542.98393,1.53049
8810.5,3627.1,329.74637,117728.7656,7285,8,488.688,26623.36496,1.84123
8814.1,3628.8,326.34943,37370.30859,8651,3,467.264,8310.5821,3.00005
8803.1,3628.9,316.91818,122078.7344,8111,11,456.923,27075.93879,1.70046
8742.6,3635.7,333.41132,22075.66406,6550,2,479.72,4802.52836,4.54271
8685.2,3645.1,350.95166,10244.69141,4860,1,428.162,2297.84132,6.55193
8697.5,3646.8,336.89288,11874.82031,3423,1,439.16,2588.90689,6.32103
8734.8,3655,346.11279,9146.05273,4298,1,395.699,2080.96309,6.63387
8740.6,3650.2,344.30237,59647.80469,5714,4,450.984,13393.59297,2.52091
8741.8,3650.6,340.30069,10053.47559,5822,1,407.503,2242.36372,6.52451
8752.8,3657.4,317.73804,10431.16797,6572,1,449.433,2297.14567,6.39839
8753.5,3639.7,349.37048,24708.74609,6547,2,481.622,5398.83835,4.41259
8812.7,3636.2,322.83643,69527.35156,6944,6,452.498,15605.50237,2.33407
8760.9,3638.7,339.48978,51618.89063,6542,4,439.46,11458.97574,2.67191
8761.9,3650.2,319.79089,19774.63672,6568,2,436.304,4432.06763,4.46463
8786.9,3637,346.28052,146554.9375,7247,9,502.941,32536.97937,1.62129
8770.7,3652.3,324.01151,22417.19531,8028,2,451.291,5002.99505,3.96534
8777.9,3656.1,315.95593,21271.08203,6538,2,456.331,4830.97703,4.36434
8821.8,3646.4,363.1279,232567.9063,4531,13,449.401,51905.83382,1.32635
8826.5,3652.8,330.15421,36062.80859,6355,3,435.396,8091.0609,3.28743
8796.8,3656.3,325.01257,184422.7969,8511,13,493.261,41169.45542,1.40153
8838.5,3617.7,307.60046,34881.95313,7929,3,495.346,7938.816,3.39785
18049.6,3622.2,495.9169,23716.9082,7595,1,-15.2189,5176.14448,3.4307
18033.1,3624,593.79657,16186.08594,1921,1,6.0657,3791.67986,4.26444
18057.4,3618,414.28644,41420.94922,8159,2,-6.13398,9151.83251,2.58586
18108.6,3615.8,634.10974,365873.0938,3362,7,350.266,83168.02241,0.85703
18096,3623.1,428.94135,25063.05273,4911,1,341.259,5596.34509,3.37194
18083.3,3630.6,443.58191,33026.63281,4307,1,-54.2351,7424.21095,2.72513
18112.5,3636,421.74725,106729.5938,9558,5,319.307,24634.84277,1.42269
18082.2,3644.2,562.89514,34517.24219,2927,2,-27.898,7839.86107,2.80583
18118,3634.4,483.1969,51222.21484,4933,2,-109.267,11423.16491,2.41045
18119.7,3631.2,470.92993,46874.10156,3292,3,-86.2654,10285.3412,2.44413
18120.1,3618.2,465.42908,72218.95313,4633,3,-102.854,15879.4062,1.94774
18082.8,3646.4,433.4657,230302.2969,7101,9,-61.4103,51637.27112,1.10808
18074.2,3655.8,475.34305,126556.9531,5878,6,338.808,27861.45866,1.48974
18069.4,3658.5,435.47363,178776.9531,6751,7,-54.7614,39646.37463,1.22904
18090.8,3658.5,411.61472,50853.45313,7187,3,-50.6212,11198.03215,2.46085
18096.8,3655.4,397.22565,29744.20313,7164,2,379.633,6542.25339,3.30699
18102.6,3651.5,543.41785,23369.19727,1986,2,-101.61,5256.24286,4.06712
18114.7,3653.4,431.89136,28069.80273,7877,1,311.324,6131.65923,2.96251
18118.8,3658.2,440.31207,21589.19727,9575,1,265.089,4958.45307,3.27892
23153.8,1595.6,478.69382,9835.7168,4643,1,388.219,2216.96156,7.00082
23154,1596.5,479.57718,10552.79883,4645,1,346.234,2336.79175,6.2559
23149.4,1599.7,489.11023,11449.1416,4640,1,392.197,2598.33095,6.36733
23162.5,1605,469.14948,21929.76953,9066,1,504.057,4872.93437,3.79767
23140.5,1605.7,449.522,9850.73047,8787,1,421.095,2139.20961,6.34718
23130.5,1608.7,519.77374,10408.91992,4387,1,412.349,2282.6427,7.534
23138.9,1609.5,441.49857,7998.55029,8785,1,357.009,1713.31446,6.64924
23173.6,1613.2,464.41769,49368.40625,9059,2,566.757,10755.29476,2.77738
23194.1,1609.3,461.4447,18667.43555,9068,1,531.143,4206.27987,4.39811
23214.7,1612.4,435.24271,12513.50488,7786,1,482.535,2719.84119,6.16784
23174,1614.5,451.42535,25149.11328,9064,1,534.971,5626.17959,3.71836
23190.7,1632.7,444.4635,9829.77734,8789,1,539.181,2287.80859,7.24845
23123,1635.8,430.87967,94320.23438,7270,7,512.393,21169.66885,2.30554
23122.4,1700,441.55685,236733.6094,8489,15,450.318,52465.89743,1.1897
23124.2,1707.5,426.91705,8159.90283,9284,1,451.701,1744.81037,7.02054
23131.3,1683.6,434.18124,7385.65674,9276,1,362.333,1599.97598,7.21968
23133.7,1687.8,421.10394,17027.15625,9214,2,389.481,3875.54273,4.42453
23135.6,1704.4,410.68848,8630.90332,9628,1,500.527,1844.07142,6.97013
