Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc
Alexa405/Alexa647	4163.7	2296.6	4077.3	2292.1	1205.89368	10638.66016	379.18314	0.30115	1.55889	310.27124	10344.50684	2530	1	-1	1	-195	-160.926	2294.40792	5.71827	4163.7	2296.6	4077.3	2292.1
Alexa405/Alexa647	4163.6	2274.2	4077.4	2269.7	1046.96655	9973.55078	394.02026	0.75393	1.51987	299.31870	9525.84570	2524	1	-1	1	-211	-177.042	2150.96578	6.29638	4163.6	2274.2	4077.4	2269.7
Alexa405/Alexa647	4171.7	2284.3	4085.0	2279.8	1158.18738	10335.16699	381.35495	0.48422	1.51088	320.59650	10045.12207	2540	1	-1	1	-189	-154.732	2228.95446	5.94189	4171.7	2284.3	4085.0	2279.8
Alexa405/Alexa647	4176.4	2297.8	4089.9	2293.2	1293.66675	21696.30664	385.01532	0.24412	1.62828	302.31079	21300.24219	2534	2	-1	1	-217	-182.848	4679.17736	4.04914	4176.4	2297.8	4089.9	2293.2
Alexa405/Alexa647	4167.4	2299.0	4080.8	2294.4	1178.21777	18692.13672	368.15384	0.31762	1.44523	306.45468	18730.17188	2537	2	-1	1	-156	-121.79	4031.27705	4.25335	4167.4	2299.0	4080.8	2294.4
Alexa405/Alexa647	4164.1	2302.0	4077.8	2297.4	1176.60303	18387.62109	358.63770	0.23547	1.56715	317.26425	18337.50195	2527	2	-1	1	-167	-132.984	3965.60308	4.17950	4164.1	2302.0	4077.8	2297.4
Alexa405/Alexa647	3031.3	2713.4	2828.3	2717.5	1447.65613	9465.29395	326.43326	0.35256	1.12734	268.96674	9128.83105	8807	1	-1	1	-29	144.952	2041.35155	4.87657	3031.3	2713.4	2828.3	2717.5
Alexa405/Alexa647	3026.0	2715.7	2823.0	2719.8	1129.78210	118215.12500	360.70786	0.67513	1.20902	266.00061	112535.28906	8816	9	-1	1	-85	89.3383	25495.10136	1.47767	3026.0	2715.7	2823.0	2719.8
Alexa405/Alexa647	3027.0	2716.1	2823.9	2720.2	1642.55750	19549.29102	339.81998	0.07932	1.15653	268.70276	18441.86328	8811	2	-1	1	-48	126.124	4216.13695	3.56109	3027.0	2716.1	2823.9	2720.2
Alexa405/Alexa647	4172.6	2313.9	4086.5	2309.3	1244.36548	9404.97363	350.96585	0.01283	1.37555	310.39011	9355.34668	2520	1	-1	1	-118	-84.1199	2028.34245	5.60016	4172.6	2313.9	4086.5	2309.3
Alexa405/Alexa647	4317.8	3094.5	4210.4	3091.1	1178.72766	6916.42480	309.23889	0.78105	0.88027	316.07333	6787.16650	3199	1	-1	1	60	96.8282	1491.64459	5.88439	4317.8	3094.5	4210.4	3091.1
Alexa405/Alexa647	4316.3	3115.5	4208.0	3112.1	1206.18958	8686.12012	342.58249	0.50622	0.93448	317.02060	8402.48535	3227	1	-1	1	36	72.8	1873.30947	5.76594	4316.3	3115.5	4208.0	3112.1
Alexa405/Alexa647	4326.2	3115.9	4217.6	3112.6	1232.07715	8316.28027	331.66959	0.10442	0.87951	322.21027	7937.74316	3236	1	-1	1	64	100.791	1793.54722	5.70454	4326.2	3115.9	4217.6	3112.6
Alexa405/Alexa647	4325.3	3122.3	4217.0	3119.0	1285.16040	44298.90234	338.07538	0.30013	0.81191	318.37140	41984.14844	3230	5	-1	1	104	140.797	9553.81137	2.49501	4325.3	3122.3	4217.0	3119.0
Alexa405/Alexa647	4334.2	3120.9	4226.8	3117.5	1341.84558	15993.38867	311.71631	0.68186	0.86563	315.85577	15498.21289	3202	2	-1	1	66	102.825	3449.24615	3.77974	4334.2	3120.9	4226.8	3117.5
Alexa405/Alexa647	4341.6	3125.8	4233.8	3122.5	1356.54089	8205.11230	313.96835	0.60264	0.92159	319.65436	8010.64111	3215	1	-1	1	45	81.8121	1769.57196	5.31428	4341.6	3125.8	4233.8	3122.5
Alexa405/Alexa647	4343.1	3134.4	4234.5	3131.1	1238.27686	16029.14160	331.40802	0.09091	0.90520	310.98752	15260.62402	3239	2	-1	1	52	88.7879	3456.95688	4.10574	4343.1	3134.4	4234.5	3131.1
Alexa405/Alexa647	4344.4	3126.7	4236.8	3123.3	1195.11304	8870.74414	347.80481	0.52670	0.76561	308.60858	8268.78613	3206	1	-1	1	147	183.821	1913.12678	5.76448	4344.4	3126.7	4236.8	3123.3
Alexa405/Alexa647	23271.7	1612.2	23068.7	1616.2	1108.15894	8028.35205	343.61508	0.42699	0.61285	466.61243	7870.56494	7644	1	-1	1	223	359.744	1731.45060	6.85247	23271.7	1612.2	23068.7	1616.2
Alexa405/Alexa647	23270.0	1623.9	23067.0	1628.0	1261.69507	334535.62500	421.29770	0.24678	0.57533	458.43103	321891.15625	8217	15	-1	1	375	523.656	72148.29464	1.09298	23270.0	1623.9	23067.0	1628.0
Alexa405/Alexa647	23276.6	1605.7	23073.5	1609.8	1009.08185	8342.82324	367.07379	0.27425	0.64433	443.71014	8372.14551	7647	1	-1	1	254	390.803	1799.27166	7.26595	23276.6	1605.7	23073.5	1609.8
Alexa405/Alexa647	23242.2	1613.0	23076.1	1605.7	1040.60486	8646.74512	367.99628	0.31187	0.64699	486.55466	8574.58691	5128	1	-1	1	255	326.927	1864.81758	7.29445	23242.2	1613.0	23076.1	1605.7
