Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc
Alexa405/Alexa647	3700.5	9658.9	3700.5	9658.9	1065.26355	7788.77588	345.19629	0.81801	1.66841	282.76590	7871.19336	9739	1	-1	1	-166	-154.47	1679.78193	6.14898	3700.5	9658.9	3700.5	9658.9
Alexa405/Alexa647	2522.7	11536.6	2522.7	11536.6	1313.13940	18275.13281	337.46063	0.03847	0.72362	329.79041	17580.55469	4025	2	-1	1	156	165.99	3941.34307	3.87840	2522.7	11536.6	2522.7	11536.6
Alexa405/Alexa647	2971.4	12042.8	2971.4	12042.8	1099.16577	9607.00195	377.41782	0.14489	1.60190	536.57336	9908.93164	105	1	-1	1	-201	-201	2071.91329	7.19269	2971.4	12042.8	2971.4	12042.8
Alexa405/Alexa647	3243.2	12435.3	3243.2	12435.3	1774.38684	13663.41406	354.25461	0.65523	1.70100	290.30481	13662.33203	5532	1	-1	1	-184	-172.47	2946.74752	4.28132	3243.2	12435.3	3243.2	12435.3
Alexa405/Alexa647	2786.7	13369.1	2786.7	13369.1	1585.58826	10517.18945	328.78705	0.02730	0.93665	318.37729	9903.56738	3360	1	-1	1	38	44.6277	2268.21070	4.73419	2786.7	13369.1	2786.7	13369.1
Alexa405/Alexa647	2824.8	13313.1	2824.8	13313.1	2103.11182	106397.90625	342.84219	0.25278	1.12073	317.56543	100834.04688	6609	7	-1	1	-39	-27.4703	22946.51725	1.46438	2824.8	13313.1	2824.8	13313.1
Alexa405/Alexa647	2780.6	13378.9	2780.6	13378.9	1055.01953	62387.72656	346.65790	0.62074	0.97614	326.50464	59440.91797	3167	5	-1	1	15	21.7234	13454.97382	2.02792	2780.6	13378.9	2780.6	13378.9
Alexa405/Alexa647	2827.6	13309.0	2827.6	13309.0	1400.46118	85284.13281	343.33936	0.27744	1.11691	302.80521	81234.21875	6600	6	-1	1	-39	-27.4703	18392.97307	1.64455	2827.6	13309.0	2827.6	13309.0
Alexa405/Alexa647	3923.2	12425.9	3923.2	12425.9	1123.98206	7256.82129	324.37961	0.21107	0.95374	305.41089	6971.72803	8806	1	-1	1	31	42.5297	1565.05688	6.03455	3923.2	12425.9	3923.2	12425.9
Alexa405/Alexa647	4635.1	15386.0	4635.1	15386.0	2398.21436	16271.30469	332.52725	0.13132	0.85436	364.28110	15670.97266	5461	1	-1	1	77	88.5956	3509.18347	3.64218	4635.1	15386.0	4635.1	15386.0
Alexa405/Alexa647	5212.8	15482.7	5212.8	15482.7	1232.00403	29131.98828	389.83389	0.42080	0.62272	342.02496	28332.25391	4718	2	-1	1	307	319.789	6282.80852	3.41700	5212.8	15482.7	5212.8	15482.7
Alexa405/Alexa647	5316.4	15353.4	5316.4	15353.4	1444.53027	8806.27246	315.20477	0.55831	0.93139	623.13495	8537.62598	61	1	-1	1	41	41	1899.22236	6.06124	5316.4	15353.4	5316.4	15353.4
Alexa405/Alexa647	5487.9	14674.6	5487.9	14674.6	1113.29529	8404.26465	350.75571	0.60001	1.08493	327.38016	7765.49609	2889	1	-1	1	-34	-27.1389	1812.52254	6.17096	5487.9	14674.6	5487.9	14674.6
Alexa405/Alexa647	6379.6	15707.8	6379.6	15707.8	1885.37415	13900.50488	346.63831	0.54631	0.78418	383.92035	13209.99121	2856	1	-1	1	132	138.877	2997.88019	4.34545	6379.6	15707.8	6379.6	15707.8
Alexa405/Alexa647	6313.5	15738.2	6313.5	15738.2	3026.76831	21053.09180	336.68860	0.25443	0.81583	638.31329	19955.16797	39	1	-1	1	101	101	4540.45715	3.45974	6313.5	15738.2	6313.5	15738.2
Alexa405/Alexa647	6344.9	15738.2	6344.9	15738.2	1184.10034	8142.66260	334.77191	0.22063	0.86165	387.33606	7746.59863	1101	1	-1	1	74	73.9739	1756.10361	6.16590	6344.9	15738.2	6344.9	15738.2
Alexa405/Alexa647	6366.2	15743.9	6366.2	15743.9	1444.69421	38210.04297	326.13907	0.11458	0.90397	373.19302	36943.52344	1778	3	-1	1	52	53.915	8240.64534	2.43945	6366.2	15743.9	6366.2	15743.9
Alexa405/Alexa647	6376.0	15751.2	6376.0	15751.2	3048.87769	68339.10938	348.45026	0.72554	0.93886	362.14566	64442.07422	2514	3	-1	1	33	40.0469	14738.49070	1.78290	6376.0	15751.2	6376.0	15751.2
Alexa405/Alexa647	6356.2	15754.4	6356.2	15754.4	3086.28247	245095.73438	359.06732	1.12033	0.84897	472.20200	233305.70313	574	10	-1	1	97	96.9969	52859.06175	1.01065	6356.2	15754.4	6356.2	15754.4
Alexa405/Alexa647	6316.1	15784.4	6316.1	15784.4	2843.06934	76882.16406	326.25534	0.11202	0.85240	435.23346	73600.82031	849	5	-1	1	76	75.9849	16580.94568	1.70844	6316.1	15784.4	6316.1	15784.4
Alexa405/Alexa647	6351.5	15759.8	6351.5	15759.8	2334.22144	43717.59375	302.90579	1.04172	0.90417	372.01578	42811.81250	2731	3	-1	1	52	58.9394	9428.44229	2.01393	6351.5	15759.8	6351.5	15759.8
Alexa405/Alexa647	6318.0	15764.9	6318.0	15764.9	5085.28857	279965.46875	347.32254	0.69569	0.85869	513.68591	263664.68750	411	10	-1	1	81	81	60379.31275	0.89766	6318.0	15764.9	6318.0	15764.9
Alexa405/Alexa647	6318.3	15785.1	6318.3	15785.1	2843.85571	144298.31250	332.26627	0.12609	0.89744	471.72745	138260.70313	731	7	-1	1	55	54.99	31120.38416	1.22664	6318.3	15785.1	6318.3	15785.1
Alexa405/Alexa647	6325.7	15777.5	6325.7	15777.5	3268.62061	179211.76563	356.06265	1.03244	0.90246	537.03204	166613.18750	224	6	-1	1	54	54	38650.06386	1.15475	6325.7	15777.5	6325.7	15777.5
Alexa405/Alexa647	6343.5	15761.5	6343.5	15761.5	2896.15405	94109.79688	350.08249	0.78702	0.84516	537.69324	88077.67969	219	4	-1	1	92	92	20296.37756	1.62823	6343.5	15761.5	6343.5	15761.5
Alexa405/Alexa647	6343.7	15788.5	6343.7	15788.5	1579.75940	153820.96875	334.65228	0.18295	0.81922	510.24365	146463.26563	362	8	-1	1	97	97	33174.10687	1.23414	6343.7	15788.5	6343.7	15788.5
Alexa405/Alexa647	6339.8	15794.0	6339.8	15794.0	4887.25195	197672.46875	364.99753	1.22320	0.80656	499.83725	190720.35938	723	6	-1	1	149	148.99	42631.42832	1.10379	6339.8	15794.0	6339.8	15794.0
Alexa405/Alexa647	6361.9	15816.7	6361.9	15816.7	1931.90759	129559.64063	342.66846	0.30994	0.75148	629.37219	124962.87500	26	7	-1	1	148	148	27941.73901	1.46805	6361.9	15816.7	6361.9	15816.7
Alexa405/Alexa647	6365.1	15814.7	6365.1	15814.7	1960.29346	281578.00000	353.66605	0.70087	0.76268	492.19208	273135.09375	830	10	-1	1	160	159.986	60727.08253	0.90885	6365.1	15814.7	6365.1	15814.7
Alexa405/Alexa647	6379.5	15792.2	6379.5	15792.2	1391.68298	198705.04688	355.23004	0.75675	0.76464	408.41672	193809.28125	1192	11	-1	1	162	161.97	42854.12134	1.14050	6379.5	15792.2	6379.5	15792.2
Alexa405/Alexa647	6365.7	15814.1	6365.7	15814.1	1719.30542	48426.19531	344.33075	0.54289	0.82039	425.90442	46318.16797	700	3	-1	1	105	104.991	10443.93226	2.28443	6365.7	15814.1	6365.7	15814.1
Alexa405/Alexa647	6380.9	15749.4	6380.9	15749.4	1938.63269	14417.39648	348.14142	0.72709	0.85977	355.17142	13698.71387	2520	1	-1	1	81	88.0439	3109.35665	4.19084	6380.9	15749.4	6380.9	15749.4
Alexa405/Alexa647	6448.9	15667.2	6448.9	15667.2	2548.90479	82723.29688	342.05740	0.49981	0.90955	351.30289	78110.71094	8719	4	-1	1	49	60.5297	17840.68527	1.59934	6448.9	15667.2	6448.9	15667.2
Alexa405/Alexa647	6424.3	15693.8	6424.3	15693.8	1571.34949	139934.15625	340.02628	0.37466	0.81369	366.87390	132926.21875	5041	8	-1	1	105	117.27	30179.17968	1.26402	6424.3	15693.8	6424.3	15693.8
Alexa405/Alexa647	6393.8	15723.2	6393.8	15723.2	1403.33801	8788.88477	319.48154	0.43008	0.78871	349.09613	8422.59668	2661	1	-1	1	103	109.974	1895.47241	5.28825	6393.8	15723.2	6393.8	15723.2
Alexa405/Alexa647	6385.2	15756.7	6385.2	15756.7	2886.49658	31713.25586	350.25662	0.78845	0.94493	370.35474	29991.26172	2735	2	-1	1	29	35.9374	6839.50275	2.81880	6385.2	15756.7	6385.2	15756.7
Alexa405/Alexa647	6396.3	15733.5	6396.3	15733.5	3178.15210	101144.39063	327.13104	0.07720	0.90755	382.92920	97705.85156	3031	5	-1	1	50	56.7908	21813.50729	1.39042	6396.3	15733.5	6396.3	15733.5
Alexa405/Alexa647	6391.1	15746.6	6391.1	15746.6	1259.29834	73024.13281	363.84644	1.08156	0.78029	418.42084	71055.34375	1007	4	-1	1	170	169.978	15748.89565	1.94933	6391.1	15746.6	6391.1	15746.6
Alexa405/Alexa647	6383.7	15760.0	6383.7	15760.0	3049.05078	41362.74609	341.14789	0.28507	0.75901	512.05688	39058.15625	491	2	-1	1	141	141	8920.57936	2.40925	6383.7	15760.0	6383.7	15760.0
Alexa405/Alexa647	6398.4	15748.4	6398.4	15748.4	3247.16528	20623.07227	321.72479	0.31453	0.95313	409.47119	20122.22070	3556	1	-1	1	32	38.9055	4447.71613	3.03783	6398.4	15748.4	6398.4	15748.4
Alexa405/Alexa647	6398.9	15734.0	6398.9	15734.0	2713.46362	72213.09375	351.78140	0.84327	0.83990	389.66302	68264.69531	1939	4	-1	1	98	101.058	15573.98129	1.85042	6398.9	15734.0	6398.9	15734.0
Alexa405/Alexa647	6418.6	15728.5	6418.6	15728.5	1467.05273	62649.39063	328.32300	0.04049	0.92942	360.77136	60818.86719	4548	4	-1	1	41	54.0621	13511.40613	1.83476	6418.6	15728.5	6418.6	15728.5
Alexa405/Alexa647	6401.1	15745.5	6401.1	15745.5	3182.93359	79932.86719	332.07901	0.09934	0.93920	390.79254	76941.75000	3505	4	-1	1	36	42.57	17238.88167	1.60261	6401.1	15745.5	6401.1	15745.5
Alexa405/Alexa647	6404.1	15753.8	6404.1	15753.8	1578.41956	140031.50000	346.64526	0.48330	0.76399	409.21869	134284.95313	1492	9	-1	1	146	145.957	30200.17351	1.35497	6404.1	15753.8	6404.1	15753.8
